,plot_id,sample_id,lon,lat,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Crop/ or not
0,139457944,543841471,29.220931911999998,-0.8679355059999999,False,2021-04-13 08:57,12.9 secs,Mapbox Satellite,,POINT(29.220931912 -0.867935506),Non-crop
1,139457945,543841472,30.901431821,-1.497424228,False,2021-04-13 09:39,21.8 secs,Mapbox Satellite,,POINT(30.901431821 -1.497424228),Non-crop
2,139457946,543841473,28.537324894,-1.7593180169999998,False,2021-04-13 09:43,5.5 secs,Mapbox Satellite,,POINT(28.537324894 -1.759318017),Non-crop
3,139457947,543841474,29.167310239000003,-2.235693169,False,2021-04-13 09:43,6.1 secs,Mapbox Satellite,,POINT(29.167310239 -2.235693169),Non-crop
4,139457948,543841476,28.957315124,-1.128458256,False,2021-04-13 09:44,43.5 secs,Mapbox Satellite,,POINT(28.957315124 -1.128458256),Cropland
5,139457949,543841477,28.539301188000003,-1.18638002,False,2021-04-13 09:44,9.8 secs,Mapbox Satellite,,POINT(28.539301188 -1.18638002),Non-crop
6,139457950,543841478,29.692387858000004,-1.339661895,False,2021-04-13 09:44,8.3 secs,Mapbox Satellite,,POINT(29.692387858 -1.339661895),Cropland
7,139457951,543841479,30.900892831999997,-1.7587792819999999,False,2021-04-13 09:44,6.9 secs,Mapbox Satellite,,POINT(30.900892832 -1.758779282),Non-crop
8,139457952,543841480,29.593948001999998,-2.915554404,False,2021-04-13 09:45,12.3 secs,Mapbox Satellite,,POINT(29.593948002 -2.915554404),Non-crop
9,139457953,543841485,29.90867118,-1.3981177809999998,False,2021-04-13 09:46,5.7 secs,Mapbox Satellite,,POINT(29.90867118 -1.398117781),Cropland
10,139457954,543841486,30.952897538000002,-1.187996641,False,2021-04-13 09:46,13.0 secs,Mapbox Satellite,,POINT(30.952897538 -1.187996641),Cropland
11,139457955,543841487,30.270188835,-1.555157659,False,2021-04-13 09:47,13.5 secs,Mapbox Satellite,,POINT(30.270188835 -1.555157659),Cropland
12,139457956,543841488,30.165281109000002,-2.393913641,False,2021-04-13 09:47,6.6 secs,Mapbox Satellite,,POINT(30.165281109 -2.393913641),Non-crop
13,139457957,543847340,30.901611485,-2.498725745,False,2021-04-13 11:38,6697.6 secs,Mapbox Satellite,,POINT(30.901611485 -2.498725745),Non-crop
14,139457958,543847341,29.95564532,-0.870091215,False,2021-04-13 11:39,8.0 secs,Mapbox Satellite,,POINT(29.95564532 -0.870091215),Cropland
15,139457959,543847342,28.851688746,-1.5519249119999998,False,2021-04-13 11:39,13.4 secs,Mapbox Satellite,,POINT(28.851688746 -1.551924912),Cropland
16,139457960,543847343,28.962884679000002,-1.022311603,False,2021-04-13 11:39,4.0 secs,Mapbox Satellite,,POINT(28.962884679 -1.022311603),Non-crop
17,139457961,543847344,30.799937694,-1.024467216,False,2021-04-13 11:41,103.2 secs,Mapbox Satellite w/ Labels,,POINT(30.799937694 -1.024467216),Cropland
18,139457962,543847345,30.592637524,-2.2862212019999997,False,2021-04-13 11:43,144.9 secs,Mapbox Satellite,,POINT(30.592637524 -2.286221202),Non-crop
19,139457963,543847346,28.751272596,-1.285695065,False,2021-04-13 11:43,2.7 secs,Mapbox Satellite,,POINT(28.751272596 -1.285695065),Non-crop
20,139457964,543847347,30.689640076,-1.023748678,False,2021-04-13 11:43,6.2 secs,Mapbox Satellite,,POINT(30.689640076 -1.023748678),Cropland
21,139457965,543847348,29.432364332,-1.0787983859999999,False,2021-04-13 11:44,19.9 secs,Mapbox Satellite,,POINT(29.432364332 -1.078798386),Non-crop
22,139457966,543847349,29.697418424000002,-2.18013648,False,2021-04-13 11:44,4.3 secs,Mapbox Satellite,,POINT(29.697418424 -2.18013648),Cropland
23,139457967,543847350,30.853559366,-2.759552181,False,2021-04-13 11:44,19.5 secs,Mapbox Satellite,,POINT(30.853559366 -2.759552181),Non-crop
24,139457968,543847351,30.374737235,-1.238373082,False,2021-04-13 11:44,2.6 secs,Mapbox Satellite,,POINT(30.374737235 -1.238373082),Cropland
25,139457969,543847352,30.745956695,-2.606042166,False,2021-04-13 11:45,23.5 secs,Mapbox Satellite,,POINT(30.745956695 -2.606042166),Non-crop
26,139457970,543847353,28.437986723,-1.0253653870000001,False,2021-04-13 11:45,2.3 secs,Mapbox Satellite,,POINT(28.437986723 -1.025365387),Non-crop
27,139457971,543847354,30.012860254,-2.811136545,False,2021-04-13 11:45,8.5 secs,Mapbox Satellite,,POINT(30.012860254 -2.811136545),Non-crop
28,139457972,543847355,29.80412278,-1.6024731540000001,False,2021-04-13 11:45,8.9 secs,Mapbox Satellite,,POINT(29.80412278 -1.602473154),Non-crop
29,139457973,543847356,28.535707926999997,-0.818271799,False,2021-04-13 11:46,5.2 secs,Mapbox Satellite,,POINT(28.535707927 -0.818271799),Non-crop
30,139457974,543847357,29.326378626999997,-1.865071125,False,2021-04-13 11:47,4.7 secs,Mapbox Satellite,,POINT(29.326378627 -1.865071125),Non-crop
31,139457975,543847358,29.587480132,-3.02373025,False,2021-04-13 11:47,7.3 secs,Mapbox Satellite,,POINT(29.587480132 -3.02373025),Cropland
32,139457976,543847359,30.479105972,-1.026982096,False,2021-04-13 11:48,62.7 secs,Mapbox Satellite,,POINT(30.479105972 -1.026982096),Non-crop
33,139457977,543847360,30.797422411,-0.9753446020000001,False,2021-04-13 11:48,7.9 secs,Mapbox Satellite,,POINT(30.797422411 -0.975344602),Non-crop
34,139457978,543847361,29.278865498000002,-1.549769745,False,2021-04-13 11:48,2.6 secs,Mapbox Satellite,,POINT(29.278865498 -1.549769745),Non-crop
35,139457979,543847362,29.640383153000002,-2.763500178,False,2021-04-13 11:48,7.3 secs,Mapbox Satellite,,POINT(29.640383153 -2.763500178),Cropland
36,139457980,543847363,30.382283083,-1.92225481,False,2021-04-13 11:51,146.3 secs,Mapbox Satellite,,POINT(30.382283083 -1.92225481),Non-crop
37,139457981,543847364,28.542535123,-1.6531997369999998,False,2021-04-13 11:51,2.1 secs,Mapbox Satellite,,POINT(28.542535123 -1.653199737),Non-crop
38,139457982,543847365,29.69544213,-1.9690223080000002,False,2021-04-13 11:51,12.4 secs,Mapbox Satellite,,POINT(29.69544213 -1.969022308),Non-crop
39,139457983,543847366,28.540199503,-2.650633726,False,2021-04-13 11:51,4.4 secs,Mapbox Satellite,,POINT(28.540199503 -2.650633726),Non-crop
40,139457984,543847367,28.434393462,-1.239989671,False,2021-04-13 11:51,3.0 secs,Mapbox Satellite,,POINT(28.434393462 -1.239989671),Non-crop
41,139457985,543847368,29.954387679,-1.4983222369999998,False,2021-04-13 12:00,16.1 secs,Mapbox Satellite,,POINT(29.954387679 -1.498322237),Non-crop
42,139457986,543847369,29.166411924000002,-2.704914713,False,2021-04-13 12:01,6.7 secs,Mapbox Satellite,,POINT(29.166411924 -2.704914713),Cropland
43,139457987,543847370,30.382462745999998,-2.759372726,False,2021-04-13 12:01,9.6 secs,Mapbox Satellite,,POINT(30.382462746 -2.759372726),Cropland
44,139457988,543847383,30.640509979,-1.49652622,False,2021-04-13 12:07,366.2 secs,Mapbox Satellite,,POINT(30.640509979 -1.49652622),Non-crop
45,139457989,543847384,28.909083343000002,-2.4971103130000003,False,2021-04-13 12:07,11.0 secs,Mapbox Satellite,,POINT(28.909083343 -2.497110313),Non-crop
46,139457990,543847386,28.591665219,-1.601754783,False,2021-04-13 12:07,2.6 secs,Mapbox Satellite,,POINT(28.591665219 -1.601754783),Non-crop
47,139457991,543847388,28.856000659,-2.023509206,False,2021-04-13 12:07,3.7 secs,Mapbox Satellite,,POINT(28.856000659 -2.023509206),Non-crop
48,139457992,543847389,29.53799071,-1.9762045719999999,False,2021-04-13 12:07,4.5 secs,Mapbox Satellite,,POINT(29.53799071 -1.976204572),Non-crop
49,139457993,543847390,30.060373383,-2.657094659,False,2021-04-13 12:07,4.9 secs,Mapbox Satellite,,POINT(30.060373383 -2.657094659),Non-crop
50,139457994,543847391,28.909801995,-2.182829473,False,2021-04-13 12:08,4.0 secs,Mapbox Satellite,,POINT(28.909801995 -2.182829473),Non-crop
51,139457995,543847392,30.794907128000002,-1.130793422,False,2021-04-13 12:08,4.5 secs,Mapbox Satellite,,POINT(30.794907128 -1.130793422),Non-crop
52,139457996,543847393,29.747806162,-2.708324503,False,2021-04-13 12:08,5.2 secs,Mapbox Satellite,,POINT(29.747806162 -2.708324503),Non-crop
53,139457997,543847394,29.905437245,-2.812931012,False,2021-04-13 12:08,8.8 secs,Mapbox Satellite,,POINT(29.905437245 -2.812931012),Cropland
54,139457998,543847395,30.960263723,-1.869201181,False,2021-04-13 12:08,4.2 secs,Mapbox Satellite,,POINT(30.960263723 -1.869201181),Non-crop
55,139457999,543847396,30.479644960999998,-2.812572119,False,2021-04-13 12:08,17.6 secs,Mapbox Satellite,,POINT(30.479644961 -2.812572119),Non-crop
56,139458000,543847397,28.904951093,-2.338004052,False,2021-04-13 12:08,2.0 secs,Mapbox Satellite,,POINT(28.904951093 -2.338004052),Cropland
57,139458001,543847398,30.794547801999997,-1.2337029290000001,False,2021-04-13 12:08,3.5 secs,Mapbox Satellite,,POINT(30.794547802 -1.233702929),Non-crop
58,139458002,543847399,30.53775821,-2.442461476,False,2021-04-13 12:09,11.7 secs,Mapbox Satellite,,POINT(30.53775821 -2.442461476),Non-crop
59,139458003,543624961,30.638713349,-1.393807147,True,2021-04-13 12:10,39.1 secs,,,POINT(30.638713349 -1.393807147),
60,139458004,543847400,28.647263186,-2.236052222,False,2021-04-13 12:10,12.7 secs,Mapbox Satellite,,POINT(28.647263186 -2.236052222),Non-crop
61,139458005,543847401,29.06689409,-1.812374916,False,2021-04-13 12:11,14.0 secs,Mapbox Satellite,,POINT(29.06689409 -1.812374916),Non-crop
62,139458006,543847402,28.541457144000002,-1.552104509,False,2021-04-13 12:11,3.9 secs,Mapbox Satellite,,POINT(28.541457144 -1.552104509),Non-crop
63,139458007,543847403,30.901252158000002,-1.8166846669999999,False,2021-04-13 12:11,7.5 secs,Mapbox Satellite,,POINT(30.901252158 -1.816684667),Non-crop
64,139458008,543847404,29.855049506999997,-1.814888939,False,2021-04-13 12:11,14.0 secs,Mapbox Satellite,,POINT(29.855049507 -1.814888939),Non-crop
65,139458009,543847405,30.902330137,-1.3918314369999998,False,2021-04-13 12:11,3.9 secs,Mapbox Satellite,,POINT(30.902330137 -1.391831437),Cropland
66,139458010,543847406,28.800582356,-2.186420123,False,2021-04-13 12:16,264.3 secs,Mapbox Satellite,,POINT(28.800582356 -2.186420123),Non-crop
67,139458011,543847407,31.011370113,-2.703299546,False,2021-04-13 12:16,5.8 secs,Mapbox Satellite,,POINT(31.011370113 -2.703299546),Cropland
68,139458012,543847408,29.226860793,-2.548167175,False,2021-04-13 12:16,2.1 secs,Mapbox Satellite,,POINT(29.226860793 -2.548167175),Non-crop
69,139458013,543847409,29.277068868,-1.606065007,False,2021-04-13 12:16,9.5 secs,Mapbox Satellite,,POINT(29.277068868 -1.606065007),Non-crop
70,139458014,543847410,29.646491697,-2.813289905,False,2021-04-13 12:16,4.3 secs,Mapbox Satellite,,POINT(29.646491697 -2.813289905),Cropland
71,139458015,543847411,30.058756415,-2.3885284419999997,False,2021-04-13 12:16,2.1 secs,Mapbox Satellite,,POINT(30.058756415 -2.388528442),Non-crop
72,139458016,543847412,28.751092933000002,-1.030934046,False,2021-04-13 12:16,2.5 secs,Mapbox Satellite,,POINT(28.751092933 -1.030934046),Non-crop
73,139458017,543847413,29.803224465,-2.5506799680000003,False,2021-04-13 12:16,5.0 secs,Mapbox Satellite,,POINT(29.803224465 -2.550679968),Cropland
74,139458018,543847414,29.695621793,-1.128997141,False,2021-04-13 12:17,8.3 secs,Mapbox Satellite,,POINT(29.695621793 -1.128997141),Cropland
75,139458019,543847415,30.586349317,-2.867563467,False,2021-04-13 12:18,53.8 secs,Mapbox Satellite,,POINT(30.586349317 -2.867563467),Non-crop
76,139458020,543847416,28.437627396999996,-2.02422741,False,2021-04-13 12:18,2.3 secs,Mapbox Satellite,,POINT(28.437627397 -2.02422741),Non-crop
77,139458021,543847417,29.121593740999998,-2.704914713,False,2021-04-13 12:18,7.9 secs,Mapbox Satellite,,POINT(29.121593741 -2.704914713),Non-crop
78,139458022,543847418,29.698855728,-1.077181705,False,2021-04-13 12:18,1.8 secs,Mapbox Satellite,,POINT(29.698855728 -1.077181705),Non-crop
79,139458023,543847419,30.480363613,-2.496751329,False,2021-04-13 12:18,5.1 secs,Mapbox Satellite,,POINT(30.480363613 -2.496751329),Cropland
80,139458024,543847420,29.275272237,-2.284964562,False,2021-04-13 12:18,8.7 secs,Mapbox Satellite,,POINT(29.275272237 -2.284964562),Cropland
81,139458025,543847421,29.903820278,-2.9141189589999996,False,2021-04-13 12:18,10.3 secs,Mapbox Satellite,,POINT(29.903820278 -2.914118959),Non-crop
82,139458026,543847422,30.325427475,-1.866328099,False,2021-04-13 12:18,4.0 secs,Mapbox Satellite,,POINT(30.325427475 -1.866328099),Cropland
83,139458027,543847423,30.219441771,-0.865959439,False,2021-04-13 12:19,10.8 secs,Mapbox Satellite,,POINT(30.219441771 -0.865959439),Cropland
84,139458028,543847424,29.483830048,-0.971572222,False,2021-04-13 12:19,7.0 secs,Mapbox Satellite,,POINT(29.483830048 -0.971572222),Non-crop
85,139458029,543847425,29.118719132,-1.497424228,False,2021-04-13 12:19,14.9 secs,Mapbox Satellite,,POINT(29.118719132 -1.497424228),Non-crop
