,plot_id,sample_id,lon,lat,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Crop/ or not,Confidence level
0,139241384,540531505,29.220931911999998,-0.8679355059999999,False,2021-03-06 18:12,63.7 secs,Mapbox Satellite,,POINT(29.220931912 -0.867935506),Cropland,somewhat confident
1,139241385,540531506,30.901431821,-1.497424228,False,2021-03-06 18:13,11.4 secs,Mapbox Satellite,,POINT(30.901431821 -1.497424228),Non-crop,fairly confident
2,139241386,540531507,28.537324894,-1.7593180169999998,False,2021-03-06 18:13,8.0 secs,Mapbox Satellite,,POINT(28.537324894 -1.759318017),Non-crop,completely confident
3,139241387,540531508,29.167310239000003,-2.235693169,False,2021-03-06 18:13,8.0 secs,Mapbox Satellite,,POINT(29.167310239 -2.235693169),Non-crop,completely confident
4,139241388,540531509,28.957315124,-1.128458256,False,2021-03-06 18:14,63.9 secs,Mapbox Satellite,,POINT(28.957315124 -1.128458256),Cropland,fairly confident
5,139241389,540531510,28.539301188000003,-1.18638002,False,2021-03-06 18:14,8.8 secs,Mapbox Satellite,,POINT(28.539301188 -1.18638002),Non-crop,completely confident
6,139241390,540531511,29.692387858000004,-1.339661895,False,2021-03-06 18:15,65.5 secs,Mapbox Satellite,,POINT(29.692387858 -1.339661895),Cropland,somewhat confident
7,139241391,540531512,30.900892831999997,-1.7587792819999999,False,2021-03-06 18:16,19.2 secs,Mapbox Satellite,,POINT(30.900892832 -1.758779282),Non-crop,fairly confident
8,139241392,540531513,29.593948001999998,-2.915554404,False,2021-03-06 18:16,16.0 secs,Mapbox Satellite,,POINT(29.593948002 -2.915554404),Non-crop,fairly confident
9,139241393,540531514,29.90867118,-1.3981177809999998,False,2021-03-06 18:16,29.5 secs,Mapbox Satellite,,POINT(29.90867118 -1.398117781),Cropland,fairly confident
10,139241394,540531515,30.952897538000002,-1.187996641,False,2021-03-06 18:17,25.3 secs,Mapbox Satellite,,POINT(30.952897538 -1.187996641),Cropland,fairly confident
11,139241395,540531516,30.270188835,-1.555157659,False,2021-03-06 18:17,37.5 secs,Mapbox Satellite,,POINT(30.270188835 -1.555157659),Cropland,fairly confident
12,139241396,540531517,30.165281109000002,-2.393913641,False,2021-03-06 18:18,44.0 secs,Mapbox Satellite,,POINT(30.165281109 -2.393913641),Cropland,fairly confident
13,139241397,540531518,30.901611485,-2.498725745,False,2021-03-06 18:19,29.8 secs,Mapbox Satellite,,POINT(30.901611485 -2.498725745),Non-crop,fairly confident
14,139241398,540531519,29.95564532,-0.870091215,False,2021-03-06 18:19,51.8 secs,Mapbox Satellite,,POINT(29.95564532 -0.870091215),Cropland,somewhat confident
15,139241399,540531520,28.851688746,-1.5519249119999998,False,2021-03-06 18:20,63.2 secs,Mapbox Satellite,,POINT(28.851688746 -1.551924912),Non-crop,slightly confident
16,139241400,540531521,28.962884679000002,-1.022311603,False,2021-03-06 18:21,37.7 secs,Mapbox Satellite,,POINT(28.962884679 -1.022311603),Non-crop,completely confident
17,139241401,540531522,30.799937694,-1.024467216,False,2021-03-06 18:22,63.7 secs,Mapbox Satellite,,POINT(30.799937694 -1.024467216),Cropland,fairly confident
18,139241402,540531523,30.592637524,-2.2862212019999997,False,2021-03-06 18:31,544.6 secs,Mapbox Satellite,,POINT(30.592637524 -2.286221202),Non-crop,slightly confident
19,139241403,540531524,28.751272596,-1.285695065,False,2021-03-06 18:31,6.3 secs,Mapbox Satellite,,POINT(28.751272596 -1.285695065),Non-crop,completely confident
20,139241404,540531525,30.689640076,-1.023748678,False,2021-03-06 18:33,113.2 secs,Mapbox Satellite,,POINT(30.689640076 -1.023748678),Cropland,fairly confident
21,139241405,540531526,29.432364332,-1.0787983859999999,False,2021-03-06 18:36,186.5 secs,Mapbox Satellite,,POINT(29.432364332 -1.078798386),Non-crop,completely confident
22,139241406,540531527,29.697418424000002,-2.18013648,False,2021-03-06 18:37,18.5 secs,Mapbox Satellite,,POINT(29.697418424 -2.18013648),Cropland,completely confident
23,139241407,540531528,30.853559366,-2.759552181,False,2021-03-06 18:37,16.4 secs,Mapbox Satellite,,POINT(30.853559366 -2.759552181),Non-crop,fairly confident
24,139241408,540531529,30.374737235,-1.238373082,False,2021-03-06 18:37,7.4 secs,Mapbox Satellite,,POINT(30.374737235 -1.238373082),Cropland,completely confident
25,139241409,540531530,30.745956695,-2.606042166,False,2021-03-06 18:41,213.4 secs,Mapbox Satellite,,POINT(30.745956695 -2.606042166),Cropland,slightly confident
26,139241410,540531531,28.437986723,-1.0253653870000001,False,2021-03-06 18:41,5.8 secs,Mapbox Satellite,,POINT(28.437986723 -1.025365387),Non-crop,completely confident
27,139241411,540531532,30.012860254,-2.811136545,False,2021-03-06 20:49,7680.3 secs,Mapbox Satellite,,POINT(30.012860254 -2.811136545),Non-crop,fairly confident
28,139241412,540531533,29.80412278,-1.6024731540000001,False,2021-03-06 20:49,11.1 secs,Mapbox Satellite,,POINT(29.80412278 -1.602473154),Cropland,fairly confident
29,139241413,540531534,28.535707926999997,-0.818271799,False,2021-03-06 20:49,5.2 secs,Mapbox Satellite,,POINT(28.535707927 -0.818271799),Non-crop,completely confident
30,139241414,540531535,29.326378626999997,-1.865071125,False,2021-03-06 20:49,12.1 secs,Mapbox Satellite,,POINT(29.326378627 -1.865071125),Non-crop,fairly confident
31,139241415,540531536,29.587480132,-3.02373025,False,2021-03-06 21:25,2152.1 secs,Mapbox Satellite,,POINT(29.587480132 -3.02373025),Non-crop,fairly confident
