,lon,lat,crop,collection_date,year
0,120.45886774708728,40.59354074220078,Crop,2022-03-01 10:45,2019
1,125.70440481246376,41.23700247668344,Noncrop,2022-03-01 08:27,2019
4,124.3943673479085,41.69673024080269,Noncrop,2022-03-01 08:28,2019
5,122.34501730809176,41.68940719486862,Crop,2022-03-01 08:28,2019
6,120.07012192301322,41.31739183944427,Noncrop,2022-03-01 08:28,2019
7,122.77316447978318,41.10486830821026,Crop,2022-03-01 10:52,2019
8,122.81013055789995,42.7224239730539,Crop,2022-03-01 08:29,2019
9,124.8873392998095,42.25725101186498,Noncrop,2022-03-01 08:29,2019
10,122.8156396853928,41.92951436627864,Noncrop,2022-03-01 10:52,2019
11,124.45426418053992,40.28669498331684,Noncrop,2022-03-01 08:30,2019
12,123.8477062326273,42.969659675545216,Crop,2022-03-01 10:52,2019
13,122.62456037968764,42.59303459741252,Crop,2022-03-01 10:53,2019
14,122.77975215759145,41.43670498011323,Noncrop,2022-03-01 08:31,2019
15,122.33440105470814,40.512923516808975,Noncrop,2022-03-01 08:31,2019
16,121.18886601197164,38.79915143054488,Noncrop,2022-03-01 08:31,2019
17,124.0514920949166,39.95153534941081,Noncrop,2022-03-01 08:32,2019
18,122.19800983592476,40.137820377183104,Noncrop,2022-03-01 10:53,2019
19,122.87333658497136,42.20101982089548,Crop,2022-03-01 08:32,2019
20,122.73377142196402,42.15661523904935,Crop,2022-03-01 08:32,2019
21,121.8960728442269,42.05042588267081,Noncrop,2022-03-01 08:32,2019
22,123.30186973429451,42.90616112645581,Crop,2022-03-01 08:33,2019
23,122.87836554624536,42.018083606760165,Crop,2022-03-01 08:33,2019
24,123.044489037204,42.3060487418998,Crop,2022-03-01 08:33,2019
25,122.3212647256775,42.3892006313284,Crop,2022-03-01 08:33,2019
26,120.492374890104,40.51198131525868,Crop,2022-03-01 10:54,2019
27,122.94535674887727,41.95453137584334,Crop,2022-03-01 10:55,2019
28,122.26343541950897,39.83783368310961,Noncrop,2022-03-01 08:37,2019
29,124.5855113969855,42.451933172956736,Crop,2022-03-01 08:38,2019
30,122.91197664758606,41.84076343837271,Noncrop,2022-03-01 10:56,2019
31,122.7067956960482,41.567617455904646,Crop,2022-03-01 08:38,2019
32,123.90903194030696,42.931759548316016,Noncrop,2022-03-01 08:38,2019
33,124.19080458119134,43.055526215271584,Crop,2022-03-01 08:39,2019
34,119.764712706381,40.46257539144226,Noncrop,2022-03-01 08:39,2019
35,121.90824817002526,41.88431333963262,Noncrop,2022-03-01 10:57,2019
36,121.09657001154154,42.13334351590628,Crop,2022-03-01 08:40,2019
37,123.24929277833324,40.92502243999066,Noncrop,2022-03-01 08:41,2019
38,123.5718669763826,40.88438860347201,Noncrop,2022-03-01 08:44,2019
39,122.67126397194512,42.68392197801755,Crop,2022-03-01 10:57,2019
40,122.66721408879376,40.09397099550949,Noncrop,2022-03-01 08:44,2019
41,121.951507471168,40.81182819011989,Noncrop,2022-03-01 08:44,2019
42,120.00246276984304,41.73890466906324,Crop,2022-03-01 08:44,2019
43,122.43283178248753,39.77697407491524,Noncrop,2022-03-01 08:45,2019
44,124.64317802869226,42.5484425372577,Noncrop,2022-03-01 08:45,2019
45,123.25473322011712,39.94255752625684,Crop,2022-03-03 09:37,2019
46,121.8212240495234,41.75684999606438,Noncrop,2022-03-01 08:46,2019
47,125.34684580024046,41.26269898928911,Noncrop,2022-03-01 08:46,2019
50,124.21911236954936,42.73991244073189,Noncrop,2022-03-01 08:48,2019
51,124.61766652026868,41.69221519668751,Noncrop,2022-03-01 08:48,2019
52,123.8086676895992,39.9160347072825,Crop,2022-03-01 10:59,2019
53,121.55691634721174,41.81002592253608,Crop,2022-03-01 08:48,2019
54,124.7022344479786,41.59312921323187,Noncrop,2022-03-01 08:48,2019
55,124.62314934350272,41.50865931960135,Noncrop,2022-03-01 08:48,2019
56,123.78583167224387,39.86073664145564,Crop,2022-03-01 10:59,2019
57,121.90702865241336,39.87322862208443,Noncrop,2022-03-01 08:48,2019
60,123.30571456988326,41.50049710335711,Crop,2022-03-01 08:49,2019
61,123.44303081360502,42.781387369818034,Crop,2022-03-01 08:49,2019
62,123.79182085514284,42.2931144120628,Crop,2022-03-01 08:49,2019
63,124.12905518052972,42.56509819568782,Noncrop,2022-03-01 08:49,2019
64,121.7965589964928,39.10927332775188,Noncrop,2022-03-01 08:49,2019
65,121.96177302016022,41.350999077872366,Noncrop,2022-03-01 08:50,2019
66,123.53267791822408,39.81367976072379,Crop,2022-03-03 09:39,2019
