locationid	userid	centroid_X	centroid_Y
1630505	111111	-102.7494048	40.45119048
1630505	111111	-102.7505952	40.45297619
1630505	111111	-102.75	40.45297619
1630505	111111	-102.7494048	40.45297619
1630505	111111	-102.7488095	40.45297619
1630505	111111	-102.75	40.45178572
1630505	111111	-102.7488095	40.45119048
1630505	111111	-102.75	40.45119048
1630505	111111	-102.7505952	40.45178572
1630505	111111	-102.7511905	40.45178572
1630505	111111	-102.7505952	40.45119048
1630505	111111	-102.7511905	40.45119048
1630505	111111	-102.7488095	40.45178572
1630505	111111	-102.7494048	40.45178572
1630505	111111	-102.7488095	40.45238096
1630505	111111	-102.7494048	40.45238096
1630505	111111	-102.75	40.45238096
1630505	111111	-102.7511905	40.45238096
1630505	111111	-102.7505952	40.45238096
1630505	111111	-102.7511905	40.45297619
1647559	111111	112.5494048	49.6529762
1647559	111111	112.5517857	49.65059524
1647559	111111	112.5511905	49.65059524
1647559	111111	112.5505952	49.65059524
1647559	111111	112.5494048	49.65178572
1647559	111111	112.55	49.65119048
1647559	111111	112.5494048	49.65119048
1647559	111111	112.55	49.65059524
1647559	111111	112.5494048	49.65059524
1647559	111111	112.5517857	49.65119048
1647559	111111	112.5511905	49.65119048
1647559	111111	112.5517857	49.65178572
1647559	111111	112.5511905	49.65178572
1647559	111111	112.5505952	49.65178572
1647559	111111	112.5505952	49.65119048
1647559	111111	112.5517857	49.6529762
1647559	111111	112.5511905	49.6529762
1647559	111111	112.5505952	49.6529762
1647559	111111	112.5517857	49.65238096
1647559	111111	112.5511905	49.65238096
1647559	111111	112.5505952	49.65238096
1647559	111111	112.55	49.6529762
1647559	111111	112.55	49.65238096
1647559	111111	112.5494048	49.65238096
1647559	111111	112.55	49.65178572
1649102	111111	74.95119048	28.65119048
1649102	111111	74.95178572	28.65059524
1649102	111111	74.95357144	28.65119048
1649102	111111	74.9529762	28.65119048
1649102	111111	74.95357144	28.65178572
1649102	111111	74.95119048	28.6529762
1649102	111111	74.9529762	28.65178572
1649102	111111	74.95238096	28.65178572
1649102	111111	74.95238096	28.65119048
1649102	111111	74.95119048	28.65178572
1649102	111111	74.95178572	28.65178572
1649102	111111	74.95119048	28.65238096
1649102	111111	74.9529762	28.6529762
1649102	111111	74.95238096	28.6529762
1649102	111111	74.95238096	28.65238096
1649102	111111	74.95178572	28.65238096
1649102	111111	74.95178572	28.6529762
1649102	111111	74.9529762	28.65059524
1649102	111111	74.95238096	28.65059524
1649102	111111	74.95178572	28.65119048
1656550	111111	14.74940477	50.45119048
1656550	111111	14.75119048	50.45119048
1656550	111111	14.75059524	50.45119048
1656550	111111	14.75000001	50.45119048
1656550	111111	14.74940477	50.45178572
1656550	111111	14.74880953	50.45178572
1656550	111111	14.74880953	50.45119048
1656550	111111	14.75119048	50.45178572
1656550	111111	14.75059524	50.45178572
1656550	111111	14.75119048	50.45238096
1656550	111111	14.75059524	50.45238096
1656550	111111	14.75000001	50.45238096
1656550	111111	14.75000001	50.45178572
1656550	111111	14.75119048	50.45357143
1656550	111111	14.75059524	50.45357143
1656550	111111	14.75000001	50.45357143
1656550	111111	14.75119048	50.45297619
1656550	111111	14.75059524	50.45297619
1656550	111111	14.75000001	50.45297619
1656550	111111	14.74940477	50.45357143
1656550	111111	14.74880953	50.45357143
1656550	111111	14.74940477	50.45297619
1656550	111111	14.74880953	50.45297619
1656550	111111	14.74940477	50.45238096
1656550	111111	14.74880953	50.45238096
1641362	111111	-78.25059524	21.95119048
1641362	111111	-78.25119048	21.95178572
1641362	111111	-78.25059524	21.95178572
1641362	111111	-78.24940476	21.95238096
1641362	111111	-78.25	21.95238096
1641362	111111	-78.25	21.95178572
1641362	111111	-78.25	21.95119048
1641362	111111	-78.25119048	21.95119048
1641362	111111	-78.24940476	21.95178572
1649211	111111	-98.04821429	37.65119048
1649211	111111	-98.04880952	37.65238096
1649211	111111	-98.04821429	37.65178572
1649211	111111	-98.04880952	37.65178572
1649211	111111	-98.04880952	37.65119048
1649211	111111	-98.04821429	37.65059524
1649211	111111	-98.04880952	37.65059524
1649211	111111	-98.04702381	37.65178572
1649211	111111	-98.04761905	37.65178572
1649211	111111	-98.04642857	37.6529762
1649211	111111	-98.04702381	37.6529762
1649211	111111	-98.04761905	37.6529762
1649211	111111	-98.04642857	37.65238096
1649211	111111	-98.04702381	37.65238096
1649211	111111	-98.04761905	37.65238096
1649211	111111	-98.04821429	37.6529762
1649211	111111	-98.04880952	37.6529762
1649211	111111	-98.04821429	37.65238096
1657694	111111	-76.75000001	37.95178572
1657694	111111	-76.74880953	37.9529762
1657694	111111	-76.74940477	37.9529762
1657694	111111	-76.74880953	37.95238096
1657694	111111	-76.75000001	37.95119048
1657694	111111	-76.75059524	37.95178572
1657694	111111	-76.75119048	37.95178572
1657694	111111	-76.74880953	37.95357144
1657694	111111	-76.75059524	37.95238096
1657694	111111	-76.75119048	37.95238096
1657694	111111	-76.75059524	37.95119048
1657694	111111	-76.75119048	37.95119048
1575229	111111	26.55	-16.34702381
1575229	111111	26.55059524	-16.34761905
1575229	111111	26.55	-16.34761905
1575229	111111	26.54940477	-16.34761905
1575229	111111	26.55178572	-16.34880953
1575229	111111	26.55119048	-16.34880953
1575229	111111	26.55059524	-16.34821429
1575229	111111	26.55059524	-16.34880953
1575229	111111	26.55	-16.34880953
1575229	111111	26.55178572	-16.34702381
1575229	111111	26.55178572	-16.34940476
1575229	111111	26.54940477	-16.34821429
1575229	111111	26.54940477	-16.34880953
1575229	111111	26.54940477	-16.34940476
1575229	111111	26.55119048	-16.34821429
1575229	111111	26.55178572	-16.34821429
1575229	111111	26.55119048	-16.34702381
1575229	111111	26.55178572	-16.34761905
1575229	111111	26.55	-16.34821429
1575229	111111	26.55119048	-16.34761905
1575229	111111	26.55059524	-16.34702381
1575229	111111	26.54940477	-16.34702381
1642710	111111	103.7494048	23.45238096
1642710	111111	103.7488095	23.45297619
1642710	111111	103.7494048	23.45297619
1642710	111111	103.75	23.45297619
1642710	111111	103.75	23.45178572
1642710	111111	103.75	23.45238096
1642710	111111	103.7505952	23.45238096
1642710	111111	103.7505952	23.45178572
1642710	111111	103.7511905	23.45178572
1642710	111111	103.7488095	23.45178572
1642710	111111	103.7494048	23.45178572
1642710	111111	103.7505952	23.45119048
1642710	111111	103.7511905	23.45119048
1642710	111111	103.7488095	23.45238096
1658610	111111	76.95357144	20.25059524
1658610	111111	76.95357144	20.25
1658610	111111	76.95357144	20.24940476
1658610	111111	76.95357144	20.24880953
1658610	111111	76.9529762	20.24880953
1658610	111111	76.95119048	20.24880953
1658610	111111	76.95178572	20.24880953
1658610	111111	76.95119048	20.24940476
1658610	111111	76.95119048	20.25119048
1658610	111111	76.95238096	20.24880953
1658610	111111	76.95119048	20.25059524
1658610	111111	76.95119048	20.25
1659937	111111	75.55059524	19.65238096
1659937	111111	75.55178572	19.65178572
1659937	111111	75.55119048	19.65119048
1659937	111111	75.54940477	19.65059524
1659937	111111	75.55	19.65059524
1659937	111111	75.54940477	19.65119048
1659937	111111	75.55119048	19.65059524
1659937	111111	75.55	19.65119048
1659937	111111	75.55059524	19.65059524
1659937	111111	75.54940477	19.65178572
1659937	111111	75.55	19.65178572
1659937	111111	75.54940477	19.65238096
1659937	111111	75.55	19.65238096
1659937	111111	75.54940477	19.6529762
1659937	111111	75.55	19.6529762
1659937	111111	75.55119048	19.65178572
1659937	111111	75.55119048	19.65238096
1659937	111111	75.55059524	19.6529762
1659937	111111	75.55119048	19.6529762
1659937	111111	75.55059524	19.65119048
1659937	111111	75.55059524	19.65178572
1659937	111111	75.55178572	19.65059524
1658087	111111	74.24880953	22.95357144
1650134	111111	144.6529762	-35.74880953
1650134	111111	144.652381	-35.74880953
1650134	111111	144.6529762	-35.74940477
1650134	111111	144.652381	-35.74940477
1650134	111111	144.6517857	-35.74940477
1650134	111111	144.6529762	-35.75000001
1650134	111111	144.652381	-35.75000001
1650134	111111	144.6517857	-35.75000001
1650134	111111	144.6511905	-35.74880953
1650134	111111	144.6505952	-35.74880953
1650134	111111	144.6505952	-35.74940477
1650134	111111	144.6511905	-35.74940477
1650134	111111	144.6505952	-35.75000001
1650134	111111	144.6529762	-35.75119048
1650134	111111	144.652381	-35.75119048
1650134	111111	144.6517857	-35.75119048
1650134	111111	144.6511905	-35.75119048
1650134	111111	144.6505952	-35.75119048
1648095	111111	115.4535714	30.15238095
1648095	111111	115.4529762	30.15238095
1648095	111111	115.452381	30.15238095
1648095	111111	115.4517857	30.15297619
1648095	111111	115.4511905	30.15297619
1648095	111111	115.4517857	30.15238095
1648095	111111	115.4511905	30.15238095
1648095	111111	115.4517857	30.15178572
1648095	111111	115.4517857	30.15119048
1648095	111111	115.4535714	30.15059524
1648095	111111	115.4529762	30.15059524
1648095	111111	115.4517857	30.15059524
1648095	111111	115.4535714	30.15119048
1648095	111111	115.4529762	30.15119048
1648095	111111	115.4529762	30.15178572
1648095	111111	115.452381	30.15178572
1648095	111111	115.452381	30.15119048
1648095	111111	115.452381	30.15059524
1648095	111111	115.4535714	30.15297619
1648095	111111	115.4511905	30.15178572
1648095	111111	115.452381	30.15297619
1648095	111111	115.4529762	30.15297619
1641911	111111	68.75119048	54.9529762
1641911	111111	68.74940477	54.95238096
1641911	111111	68.74940477	54.95178572
1641911	111111	68.74880953	54.95238096
1641911	111111	68.74880953	54.95178572
1641911	111111	68.74880953	54.95119048
1641911	111111	68.75119048	54.95178572
1641911	111111	68.74880953	54.9529762
1641911	111111	68.75059524	54.95178572
1641911	111111	68.75119048	54.95238096
1641911	111111	68.75059524	54.95238096
1641911	111111	68.75000001	54.95238096
1641911	111111	68.75000001	54.95178572
1641911	111111	68.75119048	54.95357144
1641911	111111	68.74880953	54.95357144
1641911	111111	68.74940477	54.95357144
1641911	111111	68.75000001	54.9529762
1641911	111111	68.75059524	54.95357144
1641911	111111	68.74940477	54.9529762
1641911	111111	68.75059524	54.9529762
1641911	111111	68.75000001	54.95357144
1656507	111111	-0.25059524	40.45297619
